"시도별","취업시간별",2025.10,2025.11,2025.12,2026.01,2026.02,2026.03
"계","계",29040,29046,28209,27986,28413,28795
"계"," 1-17시간",2616,2592,2289,2389,2725,2633
"계"," 18-35시간",4047,4122,4065,3939,4085,4021
"계"," 36-44시간",14059,13998,13811,13468,13515,13964
"계"," 45-53시간",5162,5148,4987,4953,4898,5090
"계","*36시간미만",6662,6715,6354,6328,6810,6653
"계"," 54시간 이상",2728,2757,2579,2564,2531,2632
"계","*36시간 이상",21949,21903,21377,20985,20944,21686
"계","일시휴직자",429,428,479,673,658,456
"계","주당평균취업시간 (시간)",38.5,38.4,38.5,38.1,37.7,38.3
"계","1~14시간",1785,1764,1565,1680,1849,1806
"계","15~35시간",4877,4951,4788,4648,4961,4847
"계","36~52시간",19148,19059,18719,18347,18341,18974
"계","53시간이상",2801,2844,2657,2638,2603,2713
"서울특별시","계",5228,5224,5150,5084,5143,5186
"서울특별시"," 1-17시간",405,367,364,339,378,399
"서울특별시"," 18-35시간",786,764,749,710,755,687
"서울특별시"," 36-44시간",2598,2644,2607,2581,2588,2656
"서울특별시"," 45-53시간",868,848,862,840,839,850
"서울특별시","*36시간미만",1191,1131,1113,1049,1133,1085
"서울특별시"," 54시간 이상",496,516,481,490,481,509
"서울특별시","*36시간 이상",3962,4007,3950,3910,3908,4015
"서울특별시","일시휴직자",74,86,87,125,103,85
"서울특별시","주당평균취업시간 (시간)",38.7,38.8,38.9,38.8,38.6,38.9
"서울특별시","1~14시간",268,255,251,230,237,265
"서울특별시","15~35시간",924,876,862,820,895,820
"서울특별시","36~52시간",3459,3482,3461,3409,3421,3503
"서울특별시","53시간이상",503,525,489,501,487,512
"부산광역시","계",1707,1718,1672,1657,1695,1694
"부산광역시"," 1-17시간",174,173,129,123,150,151
"부산광역시"," 18-35시간",258,263,254,256,258,254
"부산광역시"," 36-44시간",820,828,825,794,800,816
"부산광역시"," 45-53시간",295,285,303,290,314,313
"부산광역시","*36시간미만",432,437,383,379,408,405
"부산광역시"," 54시간 이상",134,141,133,145,132,129
"부산광역시","*36시간 이상",1249,1254,1261,1229,1246,1257
"부산광역시","일시휴직자",27,27,28,49,41,32
"부산광역시","주당평균취업시간 (시간)",37.6,37.6,38.4,38.0,37.6,37.7
"부산광역시","1~14시간",119,115,81,80,98,106
"부산광역시","15~35시간",313,322,303,299,310,298
"부산광역시","36~52시간",1111,1105,1124,1082,1108,1124
"부산광역시","53시간이상",138,149,137,147,138,133
"대구광역시","계",1217,1228,1198,1179,1214,1216
"대구광역시"," 1-17시간",116,119,93,83,116,117
"대구광역시"," 18-35시간",164,177,171,175,175,164
"대구광역시"," 36-44시간",600,579,592,568,574,579
"대구광역시"," 45-53시간",241,255,247,242,237,243
"대구광역시","*36시간미만",280,296,263,258,291,281
"대구광역시"," 54시간 이상",84,83,80,80,82,91
"대구광역시","*36시간 이상",925,918,919,889,893,912
"대구광역시","일시휴직자",13,14,16,32,30,22
"대구광역시","주당평균취업시간 (시간)",38.2,38.0,38.5,38.0,37.4,38.0
"대구광역시","1~14시간",75,82,66,54,74,76
"대구광역시","15~35시간",205,214,197,204,217,206
"대구광역시","36~52시간",836,830,835,808,809,819
"대구광역시","53시간이상",88,88,84,82,84,94
"인천광역시","계",1737,1729,1668,1682,1717,1730
"인천광역시"," 1-17시간",170,165,112,139,176,161
"인천광역시"," 18-35시간",193,199,202,197,228,207
"인천광역시"," 36-44시간",889,884,877,868,847,887
"인천광역시"," 45-53시간",305,304,307,311,297,304
"인천광역시","*36시간미만",364,364,314,336,404,367
"인천광역시"," 54시간 이상",153,157,153,141,145,151
"인천광역시","*36시간 이상",1348,1345,1337,1320,1289,1342
"인천광역시","일시휴직자",25,20,17,27,24,20
"인천광역시","주당평균취업시간 (시간)",38.5,38.7,39.7,38.8,38.1,38.6
"인천광역시","1~14시간",116,110,66,90,100,112
"인천광역시","15~35시간",248,254,248,246,304,255
"인천광역시","36~52시간",1189,1182,1179,1175,1138,1181
"인천광역시","53시간이상",159,163,158,145,151,161
"광주광역시","계",790,784,753,763,768,778
"광주광역시"," 1-17시간",92,89,59,71,82,79
"광주광역시"," 18-35시간",87,91,89,90,87,94
"광주광역시"," 36-44시간",396,380,379,376,365,370
"광주광역시"," 45-53시간",128,144,138,139,146,149
"광주광역시","*36시간미만",179,180,148,162,169,173
"광주광역시"," 54시간 이상",77,72,76,70,66,70
"광주광역시","*36시간 이상",601,596,593,586,578,589
"광주광역시","일시휴직자",10,9,12,16,21,15
"광주광역시","주당평균취업시간 (시간)",38.2,38.2,39.2,38.4,37.9,38.2
"광주광역시","1~14시간",64,61,39,48,53,52
"광주광역시","15~35시간",115,118,109,114,116,121
"광주광역시","36~52시간",523,522,516,512,511,519
"광주광역시","53시간이상",78,73,76,74,67,71
"대전광역시","계",817,816,800,788,796,807
"대전광역시"," 1-17시간",72,73,65,70,74,77
"대전광역시"," 18-35시간",108,117,122,116,118,127
"대전광역시"," 36-44시간",410,404,404,394,399,390
"대전광역시"," 45-53시간",143,141,134,129,125,129
"대전광역시","*36시간미만",180,189,187,186,192,204
"대전광역시"," 54시간 이상",74,71,65,65,67,70
"대전광역시","*36시간 이상",627,616,603,588,590,590
"대전광역시","일시휴직자",10,12,10,14,14,13
"대전광역시","주당평균취업시간 (시간)",38.5,38.1,38.3,37.9,37.8,37.8
"대전광역시","1~14시간",51,51,46,56,55,55
"대전광역시","15~35시간",129,138,141,130,137,150
"대전광역시","36~52시간",552,544,535,522,521,518
"대전광역시","53시간이상",75,72,68,66,69,72
"울산광역시","계",572,578,557,565,576,581
"울산광역시"," 1-17시간",46,49,30,39,47,49
"울산광역시"," 18-35시간",67,70,65,70,65,70
"울산광역시"," 36-44시간",255,254,258,253,255,264
"울산광역시"," 45-53시간",133,134,136,130,141,130
"울산광역시","*36시간미만",113,118,94,109,112,119
"울산광역시"," 54시간 이상",61,63,59,59,58,58
"울산광역시","*36시간 이상",448,450,454,442,454,453
"울산광역시","일시휴직자",10,9,9,13,10,9
"울산광역시","주당평균취업시간 (시간)",39.7,39.7,40.8,39.6,39.8,39.4
"울산광역시","1~14시간",31,31,20,27,34,35
"울산광역시","15~35시간",83,88,75,82,79,85
"울산광역시","36~52시간",386,384,391,378,393,390
"울산광역시","53시간이상",63,66,63,64,62,63
"세종특별자치시","계",212,212,210,210,211,215
"세종특별자치시"," 1-17시간",15,15,15,15,14,18
"세종특별자치시"," 18-35시간",32,33,32,30,36,29
"세종특별자치시"," 36-44시간",104,104,103,107,100,109
"세종특별자치시"," 45-53시간",37,37,35,32,34,36
"세종특별자치시","*36시간미만",48,48,47,45,50,46
"세종특별자치시"," 54시간 이상",17,17,19,18,18,17
"세종특별자치시","*36시간 이상",158,159,157,156,152,162
"세종특별자치시","일시휴직자",7,5,6,10,9,6
"세종특별자치시","주당평균취업시간 (시간)",37.8,38.1,38.2,37.2,37.3,38.1
"세종특별자치시","1~14시간",10,10,9,10,8,11
"세종특별자치시","15~35시간",38,39,38,35,42,36
"세종특별자치시","36~52시간",140,141,137,138,133,144
"세종특별자치시","53시간이상",18,18,19,18,19,19
"경기도","계",7789,7800,7714,7649,7684,7758
"경기도"," 1-17시간",622,635,600,563,618,616
"경기도"," 18-35시간",988,1056,1011,976,1054,1036
"경기도"," 36-44시간",3991,3907,3972,3874,3857,3956
"경기도"," 45-53시간",1371,1408,1306,1383,1322,1377
"경기도","*36시간미만",1610,1691,1611,1539,1672,1652
"경기도"," 54시간 이상",688,679,677,665,638,655
"경기도","*36시간 이상",6050,5995,5955,5923,5817,5988
"경기도","일시휴직자",129,114,148,188,195,119
"경기도","주당평균취업시간 (시간)",38.7,38.6,38.5,38.5,38.0,38.5
"경기도","1~14시간",431,435,424,388,431,408
"경기도","15~35시간",1179,1256,1187,1151,1241,1244
"경기도","36~52시간",5338,5291,5263,5234,5160,5307
"경기도","53시간이상",712,704,692,688,657,680
"강원도","계",882,876,800,780,822,861
"강원도"," 1-17시간",122,112,84,102,131,128
"강원도"," 18-35시간",151,152,139,122,126,129
"강원도"," 36-44시간",369,385,359,342,352,386
"강원도"," 45-53시간",151,142,125,112,112,127
"강원도","*36시간미만",273,264,223,224,257,257
"강원도"," 54시간 이상",71,70,65,68,68,71
"강원도","*36시간 이상",591,596,548,522,532,584
"강원도","일시휴직자",18,15,29,34,33,21
"강원도","주당평균취업시간 (시간)",36.0,36.3,36.2,35.2,34.5,35.6
"강원도","1~14시간",87,77,61,73,92,92
"강원도","15~35시간",186,187,162,151,166,165
"강원도","36~52시간",516,525,481,452,461,510
"강원도","53시간이상",75,71,67,70,71,74
"충청북도","계",998,993,950,935,961,971
"충청북도"," 1-17시간",95,88,96,86,93,89
"충청북도"," 18-35시간",158,164,151,153,152,154
"충청북도"," 36-44시간",450,443,430,413,432,441
"충청북도"," 45-53시간",169,172,159,164,151,174
"충청북도","*36시간미만",253,252,247,239,245,243
"충청북도"," 54시간 이상",114,110,99,98,102,100
"충청북도","*36시간 이상",733,725,688,675,684,715
"충청북도","일시휴직자",13,16,15,21,31,13
"충청북도","주당평균취업시간 (시간)",38.4,38.3,37.9,37.8,37.2,38.3
"충청북도","1~14시간",67,65,69,62,72,67
"충청북도","15~35시간",186,187,178,178,173,176
"충청북도","36~52시간",617,611,583,574,580,608
"충청북도","53시간이상",116,114,105,101,105,107
"충청남도","계",1318,1328,1271,1228,1261,1327
"충청남도"," 1-17시간",108,111,120,112,134,120
"충청남도"," 18-35시간",190,185,194,176,174,205
"충청남도"," 36-44시간",611,621,600,567,582,625
"충청남도"," 45-53시간",233,233,218,215,218,226
"충청남도","*36시간미만",299,296,314,288,307,325
"충청남도"," 54시간 이상",152,153,118,129,121,132
"충청남도","*36시간 이상",996,1006,935,911,921,983
"충청남도","일시휴직자",24,26,21,30,33,19
"충청남도","주당평균취업시간 (시간)",38.9,39.0,38.0,38.0,37.5,38.2
"충청남도","1~14시간",65,67,80,83,96,75
"충청남도","15~35시간",233,229,235,205,212,250
"충청남도","36~52시간",840,850,813,779,797,849
"충청남도","53시간이상",156,157,122,131,125,134
"전라북도","계",1001,998,914,933,965,986
"전라북도"," 1-17시간",113,124,93,135,153,138
"전라북도"," 18-35시간",134,152,152,146,156,157
"전라북도"," 36-44시간",480,470,433,423,426,456
"전라북도"," 45-53시간",166,150,133,125,129,136
"전라북도","*36시간미만",247,276,245,281,309,295
"전라북도"," 54시간 이상",94,87,88,85,84,86
"전라북도","*36시간 이상",739,706,654,632,639,677
"전라북도","일시휴직자",15,16,15,20,17,15
"전라북도","주당평균취업시간 (시간)",37.7,36.8,37.3,35.7,35.5,36.1
"전라북도","1~14시간",77,85,68,102,107,100
"전라북도","15~35시간",170,191,177,180,202,195
"전라북도","36~52시간",644,617,565,545,553,590
"전라북도","53시간이상",96,89,90,88,86,87
"전라남도","계",1007,1008,957,950,986,1001
"전라남도"," 1-17시간",118,119,93,109,138,127
"전라남도"," 18-35시간",165,162,168,175,162,167
"전라남도"," 36-44시간",411,423,405,381,394,406
"전라남도"," 45-53시간",191,184,184,172,177,193
"전라남도","*36시간미만",283,281,261,285,301,294
"전라남도"," 54시간 이상",111,107,92,87,87,93
"전라남도","*36시간 이상",713,714,681,640,658,693
"전라남도","일시휴직자",12,14,14,25,27,14
"전라남도","주당평균취업시간 (시간)",37.8,37.5,37.6,36.3,35.8,36.9
"전라남도","1~14시간",82,81,62,78,98,87
"전라남도","15~35시간",200,200,199,207,203,207
"전라남도","36~52시간",596,600,583,551,567,594
"전라남도","53시간이상",117,113,98,89,91,99
"경상북도","계",1519,1497,1406,1394,1406,1448
"경상북도"," 1-17시간",154,170,177,200,211,171
