"시도별","성별",2025.10,2025.11,2025.12,2026.01,2026.02,2026.03
"계","계",29040,29046,28209,27986,28413,28795
"계","남자",16005,16043,15799,15629,15719,15937
"계","여자",13035,13002,12410,12358,12693,12858
"서울특별시","계",5228,5224,5150,5084,5143,5186
"서울특별시","남자",2710,2738,2697,2643,2661,2687
"서울특별시","여자",2518,2487,2453,2442,2482,2498
"부산광역시","계",1707,1718,1672,1657,1695,1694
"부산광역시","남자",924,933,918,903,912,909
"부산광역시","여자",783,785,755,754,783,785
"대구광역시","계",1217,1228,1198,1179,1214,1216
"대구광역시","남자",654,656,652,645,657,658
"대구광역시","여자",564,572,546,534,557,558
"인천광역시","계",1737,1729,1668,1682,1717,1730
"인천광역시","남자",981,982,960,964,978,978
"인천광역시","여자",756,747,708,718,739,751
"광주광역시","계",790,784,753,763,768,778
"광주광역시","남자",433,432,427,424,425,428
"광주광역시","여자",357,353,326,339,343,350
"대전광역시","계",817,816,800,788,796,807
"대전광역시","남자",451,449,443,437,438,448
"대전광역시","여자",367,368,357,351,358,359
"울산광역시","계",572,578,557,565,576,581
"울산광역시","남자",355,353,349,350,352,354
"울산광역시","여자",217,225,209,214,225,228
"세종특별자치시","계",212,212,210,210,211,215
"세종특별자치시","남자",117,116,116,116,116,117
"세종특별자치시","여자",95,96,94,94,95,97
"경기도","계",7789,7800,7714,7649,7684,7758
"경기도","남자",4372,4381,4364,4331,4312,4365
"경기도","여자",3417,3419,3349,3318,3373,3393
"강원도","계",882,876,800,780,822,861
"강원도","남자",473,470,452,439,452,472
"강원도","여자",409,406,348,341,371,390
"충청북도","계",998,993,950,935,961,971
"충청북도","남자",559,555,536,533,545,552
"충청북도","여자",440,439,414,402,416,419
"충청남도","계",1318,1328,1271,1228,1261,1327
"충청남도","남자",762,768,755,731,738,776
"충청남도","여자",556,561,516,497,524,551
"전라북도","계",1001,998,914,933,965,986
"전라북도","남자",549,548,526,526,534,548
"전라북도","여자",452,450,389,407,431,439
"전라남도","계",1007,1008,957,950,986,1001
"전라남도","남자",562,564,551,546,557,563
"전라남도","여자",445,444,406,404,429,438
"경상북도","계",1519,1497,1406,1394,1406,1448
"경상북도","남자",848,842,813,807,810,831
"경상북도","여자",670,655,593,587,596,617
"경상남도","계",1837,1843,1794,1786,1796,1823
"경상남도","남자",1047,1045,1035,1022,1019,1034
"경상남도","여자",790,798,759,764,777,790
"제주도","계",409,413,397,404,412,414
"제주도","남자",210,213,208,211,214,218
"제주도","여자",199,200,190,193,198,196
