"시도별","종사상지위별",2025.10,2025.11,2025.12,2026.01,2026.02,2026.03
"계","계",29040,29046,28209,27986,28413,28795
"계","비임금근로자",6552,6512,6304,6235,6272,6458
"계","*자영업자",5672,5669,5586,5546,5571,5673
"계","-고용원이 있는 자영업자",1459,1487,1452,1466,1470,1495
"계","-고용원이 없는 자영업자",4214,4182,4134,4080,4101,4178
"계","-무급가족종사자",880,843,718,690,701,786
"계","임금근로자",22488,22534,21905,21751,22141,22337
"계","-상용근로자",16618,16661,16639,16620,16663,16737
"계","-임시근로자",5010,4958,4370,4297,4655,4746
"계","-일용근로자",861,915,896,834,823,854
"서울특별시","계",5228,5224,5150,5084,5143,5186
"서울특별시","비임금근로자",887,891,895,891,899,895
"서울특별시","*자영업자",829,833,838,838,845,845
"서울특별시","-고용원이 있는 자영업자",293,290,286,280,289,294
"서울특별시","-고용원이 없는 자영업자",536,542,552,558,556,551
"서울특별시","-무급가족종사자",59,58,58,53,54,50
"서울특별시","임금근로자",4340,4334,4255,4193,4245,4291
"서울특별시","-상용근로자",3290,3287,3260,3234,3255,3286
"서울특별시","-임시근로자",892,884,846,813,838,860
"서울특별시","-일용근로자",158,163,148,146,152,145
"부산광역시","계",1707,1718,1672,1657,1695,1694
"부산광역시","비임금근로자",320,321,319,320,327,331
"부산광역시","*자영업자",286,287,288,289,297,301
"부산광역시","-고용원이 있는 자영업자",86,89,91,91,91,87
"부산광역시","-고용원이 없는 자영업자",200,199,197,198,205,214
"부산광역시","-무급가족종사자",34,34,30,31,30,30
"부산광역시","임금근로자",1388,1397,1353,1337,1368,1363
"부산광역시","-상용근로자",995,1004,1002,1000,998,1005
"부산광역시","-임시근로자",348,345,302,285,319,310
"부산광역시","-일용근로자",45,48,50,51,52,48
"대구광역시","계",1217,1228,1198,1179,1214,1216
"대구광역시","비임금근로자",298,297,288,291,299,298
"대구광역시","*자영업자",266,264,256,259,264,263
"대구광역시","-고용원이 있는 자영업자",79,81,79,80,81,83
"대구광역시","-고용원이 없는 자영업자",187,183,177,180,183,181
"대구광역시","-무급가족종사자",32,33,31,32,35,35
"대구광역시","임금근로자",919,931,911,888,915,917
"대구광역시","-상용근로자",679,685,694,694,692,688
"대구광역시","-임시근로자",197,201,172,159,190,194
"대구광역시","-일용근로자",43,45,44,35,33,35
"인천광역시","계",1737,1729,1668,1682,1717,1730
"인천광역시","비임금근로자",323,316,310,304,308,313
"인천광역시","*자영업자",297,292,288,282,287,291
"인천광역시","-고용원이 있는 자영업자",82,79,79,81,78,81
"인천광역시","-고용원이 없는 자영업자",215,213,210,200,209,209
"인천광역시","-무급가족종사자",26,23,22,22,22,23
"인천광역시","임금근로자",1413,1414,1358,1379,1409,1417
"인천광역시","-상용근로자",1043,1040,1034,1038,1042,1044
"인천광역시","-임시근로자",320,317,271,291,314,318
"인천광역시","-일용근로자",51,57,53,50,53,54
"광주광역시","계",790,784,753,763,768,778
"광주광역시","비임금근로자",156,156,150,155,153,155
"광주광역시","*자영업자",140,140,135,138,137,139
"광주광역시","-고용원이 있는 자영업자",36,36,35,37,37,37
"광주광역시","-고용원이 없는 자영업자",104,104,100,102,100,102
"광주광역시","-무급가족종사자",16,16,15,16,16,16
"광주광역시","임금근로자",634,629,602,608,615,623
"광주광역시","-상용근로자",456,452,454,454,457,455
"광주광역시","-임시근로자",148,147,117,126,133,138
"광주광역시","-일용근로자",30,30,32,29,25,30
"대전광역시","계",817,816,800,788,796,807
"대전광역시","비임금근로자",172,174,172,173,176,175
"대전광역시","*자영업자",157,159,158,158,157,155
"대전광역시","-고용원이 있는 자영업자",49,49,49,49,50,49
"대전광역시","-고용원이 없는 자영업자",108,109,109,109,107,106
"대전광역시","-무급가족종사자",15,15,14,14,19,20
"대전광역시","임금근로자",645,643,628,615,620,632
"대전광역시","-상용근로자",483,477,478,478,473,476
"대전광역시","-임시근로자",144,148,132,124,134,142
"대전광역시","-일용근로자",19,18,19,14,13,15
"울산광역시","계",572,578,557,565,576,581
"울산광역시","비임금근로자",97,93,95,92,91,91
"울산광역시","*자영업자",86,83,85,84,84,85
"울산광역시","-고용원이 있는 자영업자",28,27,28,27,28,29
"울산광역시","-고용원이 없는 자영업자",57,56,57,57,56,56
"울산광역시","-무급가족종사자",11,10,9,8,7,6
"울산광역시","임금근로자",475,485,463,473,485,490
"울산광역시","-상용근로자",364,369,367,363,369,367
"울산광역시","-임시근로자",100,103,84,96,100,106
"울산광역시","-일용근로자",11,13,13,14,16,17
"세종특별자치시","계",212,212,210,210,211,215
"세종특별자치시","비임금근로자",35,34,33,33,34,34
"세종특별자치시","*자영업자",31,30,30,30,30,30
"세종특별자치시","-고용원이 있는 자영업자",10,9,9,9,10,10
"세종특별자치시","-고용원이 없는 자영업자",21,21,21,21,21,20
"세종특별자치시","-무급가족종사자",4,4,4,3,3,4
"세종특별자치시","임금근로자",177,178,176,178,177,181
"세종특별자치시","-상용근로자",151,152,152,153,152,152
"세종특별자치시","-임시근로자",24,24,23,21,24,26
"세종특별자치시","-일용근로자",2,2,2,3,2,3
