region,province,district,education_quality_score,academic_admissions_proxy_score,school_infra_score,private_education_access_score,education_demand_score,stability_score,private_academies_per_1000,elementary_students,elementary_schools,teacher_per_student,class_size_total,population,fiscal_self_reliance
서울 강남구,서울,강남구,86.33984696208566,97.80418099793758,49.393251621440285,98.38695032719923,90.7380388955864,79.86302811837201,4.6,26239.0,34.0,13.09,25.01,557345.0,56.08
세종 세종시,세종,세종시,86.0893055518849,94.59194411445435,61.76165865685575,91.68759201639119,91.65432070839172,82.09929750002698,2.9,32131.0,53.0,13.19,20.5,390685.0,57.53
서울 서초구,서울,서초구,79.94288934921433,91.11215541112776,46.344806924503565,90.02390621014347,84.75487980962438,72.39755012977184,2.9,19725.0,24.0,10.39,24.74,408376.0,53.16
경기 성남시,경기,성남시,79.72915922858952,86.50469907593298,61.97953664256328,73.92097938017648,96.9613959056316,93.22677954798561,2.2,41571.0,73.0,15.28,22.95,913009.0,57.21
경기 화성시,경기,화성시,78.89812273663715,81.81436431478558,67.06912517008806,73.00664382813036,93.79013757650429,99.38949246538222,2.2,68660.0,103.0,14.99,23.93,968821.0,50.19
경기 용인시,경기,용인시,75.83579931763798,78.76713338443042,64.38601258550881,67.6414582529554,93.5734620621364,100.0,2.0,61324.0,104.0,16.84,23.99,1085864.0,49.73
전북 전주시,전북,전주시,71.2359897888883,63.52705014238107,63.01585122263438,88.5970646897857,56.90104271918197,89.20857373668204,3.2,35945.0,75.0,14.9,21.89,635651.0,21.73
경기 수원시,경기,수원시,71.10398941739025,68.4021447965082,69.36968891614434,64.58105473766886,82.28116009806739,99.8583551839633,2.0,61885.0,100.0,13.84,23.17,1193005.0,39.84
부산 강서구,부산,강서구,68.70162274673127,76.24194913050502,41.433726562705246,82.9065266700655,65.03785606713181,58.29312567898599,2.8,12396.0,19.0,12.51,22.21,142789.0,41.59
경기 고양시,경기,고양시,68.40986780759611,62.939419908594715,70.13182545766719,64.95298809791018,74.27485086440446,97.49105368901073,2.1,49869.0,90.0,12.66,21.98,1070120.0,33.68
경기 김포시,경기,김포시,68.04262788773,66.92318209061531,55.954471462821246,74.69985227812818,67.86236044002895,83.70938437076731,2.5,34578.0,47.0,14.06,24.14,486853.0,33.78
울산 남구,울산,남구,67.40342062741259,66.12400575156181,48.36213516030955,88.29460333095788,52.98355872822282,69.15754122722693,3.3,15072.0,31.0,13.75,21.9,304885.0,26.35
경남 창원시,경남,창원시,67.08189150874033,59.854762411793544,71.3192646183473,64.13066839872478,71.27735049296365,98.61613535941635,2.1,53251.0,112.0,13.71,21.59,999858.0,30.6
경기 하남시,경기,하남시,65.92797600341792,73.68662709764874,45.202425189602195,64.98791811760832,78.07943646971607,71.46423860925896,2.0,21170.0,24.0,13.35,24.03,329120.0,47.75
대구 수성구,대구,수성구,65.50384643673465,62.37823492417931,49.076375933865634,83.89063718087472,53.42591717371607,75.88044084775827,3.0,22267.0,34.0,13.31,23.86,409107.0,24.12
