region,metro_area,year,employment_rate,employment_rate_15_64,labor_force,labor_force_participation_rate,not_in_labor_force,population_15plus,unemployment_rate,male_labor_force_participation_rate,male_unemployment_rate,male_employment_rate,male_employment_rate_15_64,female_labor_force_participation_rate,female_unemployment_rate,female_employment_rate,female_employment_rate_15_64,gender_employment_rate_gap,gender_labor_force_participation_gap,youth_employed_share,senior_employed_share,core_30_49_employed_share,working_age_employed_share,wage_worker_share,regular_worker_share,temporary_worker_share,daily_worker_share,self_employed_share,short_hours_worker_share,long_hours_worker_share,average_weekly_hours,college_employed_share,quarter_count,is_complete_year
강원,비수도권,2016,58.175,64.6,771.25,59.875,516.5,1287.75,2.85,68.025,2.875,66.1,71.425,52.1,2.875,50.625,57.575,15.475,15.924999999999999,12.317146856162303,19.385696841155593,42.39645861432956,88.83873603065238,66.93654244280226,45.157419921210845,16.4111679145811,5.367954607010324,26.184207091381506,20.259317056820716,23.671069557231966,42.7,36.80877626525381,4,True
경기,수도권,2016,61.65,67.02499999999999,6767.25,64.15,3780.75,10548.5,3.9,76.1,3.8,73.2,77.9,52.45,4.075,50.325,55.925,22.875,23.650000000000002,15.600235875027128,10.85930205128327,51.0252158965931,94.89199624529385,78.44327335719501,54.242235967008554,19.090303804642595,5.114390790928292,18.576298611753973,15.686754973385018,20.910094802755292,43.375,47.34243601578839,4,True
경남,비수도권,2016,60.575,65.925,1762.75,62.7,1049.5,2812.0,3.325,74.95,3.575,72.275,76.05,50.425,3.025,48.9,55.05,23.375,24.525,13.040996486801454,16.454761826142814,46.089387101188684,90.90779604064039,68.20425144339382,48.35822474006801,16.066658552293326,3.77918114642469,25.84217340909703,18.831929772814703,24.03030885752954,43.225,39.17428688409976,4,True
경북,비수도권,2016,62.375,67.525,1490.25,64.425,822.5,2313.0,3.175,76.225,3.15,73.875,77.225,52.825,3.2,51.150000000000006,57.05,22.724999999999998,23.4,12.51345867985953,22.272956596078163,41.326060449221885,85.9329715750281,64.54266559718005,43.778968409528396,16.3799501367949,4.435968600973918,27.68800771740254,18.438043837188797,23.394175024934373,43.125,32.644771086645974,4,True
광주,비수도권,2016,58.05,62.575,753.25,59.925,504.5,1257.25,3.0749999999999997,71.0,3.175,68.775,72.65,49.425,2.925,47.95,52.599999999999994,20.825000000000003,21.575000000000003,14.139216741128998,12.524086178527401,50.9136163289064,92.91752427046725,73.70468672653716,49.64287126588851,19.51057672778883,4.551238732859819,22.117731032360393,15.425682962956525,19.757073325004104,43.6,50.32859509256075,4,True
대구,비수도권,2016,59.325,65.25,1301.0,61.875,801.5,2102.5,4.15,72.6,4.325,69.475,74.175,51.725,3.9499999999999997,49.725,56.475,19.75,20.875,13.955150691879755,13.524225144399406,47.579725292500335,93.28875865189431,73.06199705157461,44.78258058015757,21.18358361560326,7.076038714879502,22.84925989378184,16.01716173077277,22.479586972031818,43.575,47.80103726839357,4,True
대전,비수도권,2016,59.725,64.625,799.75,61.75,495.75,1295.25,3.225,71.5,3.25,69.175,73.35,52.3,3.2,50.625,55.9,18.55,19.200000000000003,17.252571484065143,11.950719177885935,47.72677202117229,94.08955874095015,79.83630298651492,53.72839802063581,19.77472551590141,6.3975709769980975,17.578153852449752,17.82434339656114,17.100629481991838,42.05,51.60024696599747,4,True
부산,비수도권,2016,56.175,62.625,1754.5,58.45,1246.5,3001.0,3.9,69.05,4.2,66.175,71.925,48.6,3.45,46.925,53.625,19.25,20.449999999999996,14.769150239048288,16.249291281689487,44.63322397000516,92.261759318506,77.41755757744008,48.250260129621424,22.74601012297385,6.436062738556388,19.49839719924647,17.921327650588914,21.69619633102723,42.875,45.74438272636913,4,True
서울,수도권,2016,59.975,65.75,5372.0,62.575,3211.0,8582.75,4.225,72.825,4.175,69.75,75.225,53.15,4.2,50.9,56.775,18.849999999999998,19.675,16.521539351936077,12.76844621553122,48.47990940818421,93.79802545341141,78.52711324466901,50.53355820384034,21.334694981214867,6.668544422899088,18.591666719176086,15.989920565263382,20.231297445145845,43.1,54.05960471969011,4,True
울산,비수도권,2016,58.95,62.45,598.5,61.325,377.5,976.25,3.8,76.625,4.324999999999999,73.325,76.05,45.275,2.925,43.974999999999994,47.7,29.35,31.35,14.287417208000685,11.326401614991166,49.421094163068894,94.44758162328085,81.03112649074755,59.15831461195282,16.92962779338332,4.987431873022034,15.370430047427144,16.732952857122342,21.292580785003302,43.25,40.38201819641493,4,True
인천,수도권,2016,61.775,67.2,1598.0,64.95,863.0,2461.0,4.875,76.725,5.175,72.75,77.675,53.5,4.425000000000001,51.125,56.55,21.625,23.224999999999998,15.585419653936954,11.652758240320718,48.92028742807956,94.77559943177758,81.5491769912718,50.397188718554055,25.494199188108805,5.657885770226001,16.674008681448846,15.362134238047975,21.221846783826514,43.525,38.34159264633894,4,True
전남,비수도권,2016,62.7,67.525,994.25,64.6,544.75,1538.75,3.025,74.275,3.85,71.425,75.0,55.275,1.9,54.225,59.375,17.2,19.0,10.394834559579305,26.38346008600735,39.131100270951585,81.57429739826846,59.646230055367255,35.901559980695765,18.589855791230082,5.154814283441413,30.88155825632275,22.694893455783934,13.06572429475169,39.55,29.37794120973846,4,True
