region,metro_area,year,employment_rate,employment_rate_15_64,labor_force,labor_force_participation_rate,not_in_labor_force,population_15plus,unemployment_rate,male_labor_force_participation_rate,male_unemployment_rate,male_employment_rate,male_employment_rate_15_64,female_labor_force_participation_rate,female_unemployment_rate,female_employment_rate,female_employment_rate_15_64,gender_employment_rate_gap,gender_labor_force_participation_gap,youth_employed_share,senior_employed_share,core_30_49_employed_share,working_age_employed_share,wage_worker_share,regular_worker_share,temporary_worker_share,daily_worker_share,self_employed_share,short_hours_worker_share,long_hours_worker_share,average_weekly_hours,college_employed_share,quarter_count,is_complete_year,employment_rate_score,employment_rate_15_64_score,labor_force_participation_rate_score,unemployment_rate_score,female_employment_rate_score,female_labor_force_participation_rate_score,gender_employment_rate_gap_score,wage_worker_share_score,regular_worker_share_score,temporary_worker_share_score,daily_worker_share_score,self_employed_share_score,youth_employed_share_score,senior_employed_share_score,short_hours_worker_share_score,long_hours_worker_share_score,college_employed_share_score,labor_market_access_score,female_employment_score,stable_wage_job_score,youth_retention_score,working_time_quality_score,education_job_score,employment_inclusion_score
강원,비수도권,2016,58.175,64.6,771.25,59.875,516.5,1287.75,2.85,68.025,2.875,66.1,71.425,52.1,2.875,50.625,57.575,15.475,15.924999999999999,12.317146856162303,19.385696841155593,42.39645861432956,88.83873603065238,66.93654244280226,45.157419921210845,16.4111679145811,5.367954607010324,26.184207091381506,20.259317056820716,23.671069557231966,42.7,36.80877626525381,4,True,16.66666666666665,15.837937384898645,12.653778558875207,64.8,30.15873015873017,30.88235294117648,64.01384083044982,29.093192555166535,25.417857463681866,55.46919845527285,41.3613613784509,28.78131155318924,37.843769162246325,65.14961335163423,71.6769769047956,8.257924981625393,17.223359656926686,27.489595652610124,41.68497464345216,36.024584281152286,51.49669125694028,39.967450943210494,17.223359656926686,35.64777607238201
경기,수도권,2016,61.65,67.02499999999999,6767.25,64.15,3780.75,10548.5,3.9,76.1,3.8,73.2,77.9,52.45,4.075,50.325,55.925,22.875,23.650000000000002,15.600235875027128,10.85930205128327,51.0252158965931,94.89199624529385,78.44327335719501,54.242235967008554,19.090303804642595,5.114390790928292,18.576298611753973,15.686754973385018,20.910094802755292,43.375,47.34243601578839,4,True,39.37908496732026,33.701657458563446,42.7065026362039,31.200000000000003,28.79818594104311,32.466063348416306,29.873125720876587,75.0126978358859,50.366004996152604,39.10797323219294,44.91497063193718,72.65796538077828,74.57993817483955,99.07504600735504,94.71108759142395,23.686201433176635,41.638517446291345,36.7468112655219,30.379125003445335,56.411922415389384,86.8274920910973,59.19864451230029,41.638517446291345,51.867085455674264
경남,비수도권,2016,60.575,65.925,1762.75,62.7,1049.5,2812.0,3.325,74.95,3.575,72.275,76.05,50.425,3.025,48.9,55.05,23.375,24.525,13.040996486801454,16.454761826142814,46.089387101188684,90.90779604064039,68.20425144339382,48.35822474006801,16.066658552293326,3.77918114642469,25.84217340909703,18.831929772814703,24.03030885752954,43.225,39.17428688409976,4,True,32.352941176470615,25.59852670349903,32.51318101933218,49.6,22.335600907029487,23.30316742081447,27.56632064590542,34.152194158677254,34.20770531981202,57.573083998652486,63.6274723656905,30.753902773911477,45.94329440145456,76.81142832977918,78.86738702772962,6.25050233921759,22.706194339204174,35.01616222482546,24.401696324583128,44.06287172334875,61.37736136561686,42.558944683473605,22.706194339204174,38.353871776842
경북,비수도권,2016,62.375,67.525,1490.25,64.425,822.5,2313.0,3.175,76.225,3.15,73.875,77.225,52.825,3.2,51.150000000000006,57.05,22.724999999999998,23.4,12.51345867985953,22.272956596078163,41.326060449221885,85.9329715750281,64.54266559718005,43.778968409528396,16.3799501367949,4.435968600973918,27.68800771740254,18.438043837188797,23.394175024934373,43.125,32.644771086645974,4,True,44.117647058823536,37.38489871086558,44.63971880492089,54.400000000000006,32.53968253968257,34.16289592760183,30.565167243367938,19.54003264626096,21.63244106048254,55.65984242194091,54.42282316880051,20.108528531374148,40.04040297055083,53.66157663867955,80.85157271478238,9.805206565886024,7.571933098718129,45.1355661436525,32.422581903550785,34.272733565771816,46.85098980461519,45.3283896403342,7.571933098718129,35.2636990261071
광주,비수도권,2016,58.05,62.575,753.25,59.925,504.5,1257.25,3.0749999999999997,71.0,3.175,68.775,72.65,49.425,2.925,47.95,52.599999999999994,20.825000000000003,21.575000000000003,14.139216741128998,12.524086178527401,50.9136163289064,92.91752427046725,73.70468672653716,49.64287126588851,19.51057672778883,4.551238732859819,22.117731032360393,15.425682962956525,19.757073325004104,43.6,50.32859509256075,4,True,15.849673202614364,0.9208103130755062,13.005272407732829,57.60000000000001,18.02721088435377,18.778280542986415,39.33102652825835,56.10258727290481,37.735520400676606,36.541406908974494,52.80735210652638,52.23366548431633,58.231844801461506,92.4510832203845,96.02622809157698,30.129264371176333,48.55990533712774,21.843938980855675,25.378839318532844,47.084106434679725,75.341464010923,63.07774623137666,48.55990533712774,46.88100005224928
대구,비수도권,2016,59.325,65.25,1301.0,61.875,801.5,2102.5,4.15,72.6,4.325,69.475,74.175,51.725,3.9499999999999997,49.725,56.475,19.75,20.875,13.955150691879755,13.524225144399406,47.579725292500335,93.28875865189431,73.06199705157461,44.78258058015757,21.18358361560326,7.076038714879502,22.84925989378184,16.01716173077277,22.479586972031818,43.575,47.80103726839357,4,True,24.183006535947733,20.62615101289132,26.71353251318101,23.19999999999999,26.077097505668956,29.185520361990964,44.29065743944637,53.53782825117494,24.388497360579183,26.324514741303375,17.42315290199747,48.01476107669514,56.17223525208702,88.47165839087096,93.04667589347252,14.915907884899411,42.70147393149466,23.680672515505012,33.18442510236876,33.937750866350015,72.32194682147899,53.98129188918597,42.70147393149466,43.30126018773057
대전,비수도권,2016,59.725,64.625,799.75,61.75,495.75,1295.25,3.225,71.5,3.25,69.175,73.35,52.3,3.2,50.625,55.9,18.55,19.200000000000003,17.252571484065143,11.950719177885935,47.72677202117229,94.08955874095015,79.83630298651492,53.72839802063581,19.77472551590141,6.3975709769980975,17.578153852449752,17.82434339656114,17.100629481991838,42.05,51.60024696599747,4,True,26.797385620915048,16.02209944751379,25.8347978910369,52.8,30.15873015873017,31.787330316742075,49.82698961937716,80.57181205309101,48.95493570985497,34.92827566365557,26.931643777317262,78.41450835064819,93.06876983622861,94.73243706883397,83.94306575958072,44.97342400051084,51.50736917005846,30.363570739866432,37.2576833649498,53.9602351109134,93.9006034525313,64.45824488004578,51.50736917005846,55.241284453060864
부산,비수도권,2016,56.175,62.625,1754.5,58.45,1246.5,3001.0,3.9,69.05,4.2,66.175,71.925,48.6,3.45,46.925,53.625,19.25,20.449999999999996,14.769150239048288,16.249291281689487,44.63322397000516,92.261759318506,77.41755757744008,48.250260129621424,22.74601012297385,6.436062738556388,19.49839719924647,17.921327650588914,21.69619633102723,42.875,45.74438272636913,4,True,3.5947712418300477,1.289134438305688,2.6362038664323384,31.200000000000003,13.378684807256242,15.045248868778295,46.59746251441753,70.91941004499299,33.91121973153716,16.782926322280105,26.392195041412933,67.33999913201791,65.2804942024633,77.62896930581577,83.45451120277582,19.29348046479342,37.934512936842076,9.680027386642019,25.007132063484022,43.06915005444822,71.45473175413954,51.37399583378462,37.934512936842076,39.75325833822342
서울,수도권,2016,59.975,65.75,5372.0,62.575,3211.0,8582.75,4.225,72.825,4.175,69.75,75.225,53.15,4.2,50.9,56.775,18.849999999999998,19.675,16.521539351936077,12.76844621553122,48.47990940818421,93.79802545341141,78.52711324466901,50.53355820384034,21.334694981214867,6.668544422899088,18.591666719176086,15.989920565263382,20.231297445145845,43.1,54.05960471969011,4,True,28.431372549019624,24.309392265193345,31.63444639718806,20.80000000000001,31.40589569160998,35.633484162895925,48.44290657439447,75.34727471825497,40.181468565311775,25.401692164176865,23.134044578497424,72.56933377707921,84.88887589938516,91.47880593515143,93.18390224712863,27.47930865764529,57.207724890572024,26.29380280285026,38.494095476300124,47.326762760664046,88.1838409172683,60.33160545238696,57.207724890572024,52.97297205000695
울산,비수도권,2016,58.95,62.45,598.5,61.325,377.5,976.25,3.8,76.625,4.324999999999999,73.325,76.05,45.275,2.925,43.974999999999994,47.7,29.35,31.35,14.287417208000685,11.326401614991166,49.421094163068894,94.44758162328085,81.03112649074755,59.15831461195282,16.92962779338332,4.987431873022034,15.370430047427144,16.732952857122342,21.292580785003302,43.25,40.38201819641493,4,True,21.732026143790872,0.0,22.847100175746935,34.400000000000006,0.0,0.0,0.0,85.33995207655425,63.86622940323129,52.30301383668706,46.694255990768994,91.14698711262288,59.89013593138828,97.21651667782982,89.44090483296151,21.548876757028353,25.505501631794008,19.744781579884453,0.0,67.8700876839729,78.55332630460904,55.49489079499493,25.505501631794008,41.19476466587589
