region,metro_area,year,quarter,period,employment_rate,employment_rate_15_64,labor_force,labor_force_participation_rate,not_in_labor_force,population_15plus,unemployment_rate,male_labor_force_participation_rate,male_unemployment_rate,male_employment_rate,male_employment_rate_15_64,female_labor_force_participation_rate,female_unemployment_rate,female_employment_rate,female_employment_rate_15_64,gender_employment_rate_gap,gender_labor_force_participation_gap,youth_employed_share,senior_employed_share,core_30_49_employed_share,working_age_employed_share,wage_worker_share,regular_worker_share,temporary_worker_share,daily_worker_share,self_employed_share,short_hours_worker_share,long_hours_worker_share,average_weekly_hours,college_employed_share
강원,비수도권,2016,1,2016.1/4,53.7,61.5,723.0,56.3,561.0,1284.0,4.6,64.4,4.6,61.5,68.2,48.5,4.7,46.2,54.6,15.299999999999997,15.900000000000006,12.608695652173912,15.942028985507244,44.927536231884055,91.73913043478261,67.82608695652173,48.69565217391305,15.072463768115943,4.057971014492753,26.231884057971016,17.53623188405797,23.333333333333332,42.8,38.69565217391304
경기,수도권,2016,1,2016.1/4,60.5,66.1,6638.0,63.4,3831.0,10470.0,4.5,75.2,4.5,71.8,76.6,51.9,4.6,49.5,55.3,22.299999999999997,23.300000000000004,15.748777023828309,10.004734101309767,51.99621271895219,95.42370206722424,79.28041660091526,54.74199147861765,19.59917942243964,4.92346536215875,18.005365314817737,13.192362316553574,22.408079532902004,43.8,47.41991478617643
경남,비수도권,2016,1,2016.1/4,59.5,65.0,1729.0,61.7,1076.0,2805.0,3.5,74.0,3.7,71.3,75.2,49.3,3.2,47.7,54.1,23.599999999999994,24.700000000000003,12.702216896345117,15.458358298382265,47.15398442180947,91.49191132414619,69.68244457759137,50.5692031156381,15.997603355302575,3.115638106650689,24.865188735769923,17.43559017375674,24.02636309167166,43.1,39.424805272618336
경북,비수도권,2016,1,2016.1/4,60.6,66.7,1455.0,63.0,854.0,2309.0,3.8,75.8,3.9,72.9,76.5,50.5,3.6,48.7,56.1,24.200000000000003,25.299999999999997,13.285714285714286,20.214285714285715,42.57142857142857,87.5,64.64285714285715,44.42857142857143,15.642857142857142,4.642857142857143,28.357142857142858,19.214285714285715,22.78571428571429,42.2,33.57142857142857
광주,비수도권,2016,1,2016.1/4,57.4,62.4,746.0,59.4,510.0,1256.0,3.3,70.0,3.2,67.8,72.1,49.4,3.5,47.6,52.8,20.199999999999996,20.6,14.285714285714285,11.095700416088766,52.42718446601942,93.89736477115119,72.95423023578364,50.20804438280167,18.723994452149793,4.0221914008321775,22.607489597780862,12.89875173370319,20.527045769764214,44.2,51.04022191400832
대구,비수도권,2016,1,2016.1/4,58.1,64.2,1286.0,61.2,815.0,2101.0,5.1,73.0,4.7,69.6,74.2,50.0,5.6,47.3,54.3,22.299999999999997,23.0,14.250614250614252,12.366912366912366,48.402948402948404,93.93939393939394,74.03767403767404,46.846846846846844,20.22932022932023,6.961506961506962,22.03112203112203,13.841113841113842,23.25962325962326,43.9,48.56674856674857
대전,비수도권,2016,1,2016.1/4,59.0,64.1,792.0,61.2,503.0,1294.0,3.4,70.8,3.4,68.4,72.9,51.8,3.5,50.0,55.3,18.400000000000006,19.0,17.015706806282722,10.99476439790576,48.82198952879581,94.63350785340315,79.31937172774869,53.010471204188484,19.895287958115183,6.4136125654450264,17.93193717277487,14.528795811518325,19.240837696335078,42.7,51.832460732984295
부산,비수도권,2016,1,2016.1/4,55.9,62.8,1759.0,58.6,1243.0,3001.0,4.6,68.8,4.8,65.5,71.7,49.1,4.3,47.0,54.2,18.5,19.699999999999996,14.967203339296361,14.907573047107931,45.25939177101968,93.38103756708408,77.69827072152653,48.24090638044126,22.659511031604055,6.797853309481217,19.260584376863445,14.669051878354203,23.4943351222421,43.6,45.855694692903995
서울,수도권,2016,1,2016.1/4,59.3,65.1,5347.0,62.2,3252.0,8599.0,4.7,72.3,4.6,69.0,74.5,52.8,4.7,50.3,56.2,18.700000000000003,19.5,16.40502354788069,12.009419152276294,49.19544740973312,94.21114599686028,78.23783359497645,50.84379905808477,20.97723704866562,6.41679748822606,18.740188383045524,12.892464678178964,21.369701726844585,43.7,54.08163265306123
울산,비수도권,2016,1,2016.1/4,58.0,61.8,589.0,60.4,386.0,975.0,4.0,76.2,4.1,73.1,76.2,43.9,3.8,42.3,46.3,30.799999999999997,32.300000000000004,14.513274336283185,10.265486725663717,50.442477876106196,95.39823008849557,81.94690265486726,61.94690265486725,16.10619469026549,4.070796460176991,15.221238938053098,11.504424778761061,23.893805309734514,44.3,40.35398230088496
인천,수도권,2016,1,2016.1/4,61.0,66.7,1580.0,64.5,870.0,2450.0,5.4,76.3,5.8,71.9,77.0,53.0,4.9,50.4,56.3,21.500000000000007,23.299999999999997,15.451505016722408,10.836120401337793,49.89966555183947,95.45150501672241,81.07023411371237,50.70234113712374,24.48160535117057,5.88628762541806,16.989966555183948,12.107023411371237,23.010033444816052,44.3,38.12709030100335
전남,비수도권,2016,1,2016.1/4,59.9,66.2,956.0,62.2,580.0,1536.0,3.8,73.5,4.8,70.0,74.4,51.4,2.3,50.2,57.3,19.799999999999997,22.1,10.326086956521738,24.02173913043478,41.30434782608695,83.80434782608695,60.43478260869565,37.06521739130435,18.586956521739133,4.782608695652174,31.08695652173913,25.32608695652174,12.934782608695652,38.5,29.565217391304348
전북,비수도권,2016,1,2016.1/4,57.1,63.6,919.0,58.7,647.0,1566.0,2.7,70.8,2.9,68.7,72.9,47.1,2.4,46.0,53.8,22.700000000000003,23.699999999999996,11.6331096196868,19.12751677852349,45.302013422818796,88.14317673378076,65.77181208053692,41.387024608501115,17.449664429530202,7.046979865771812,29.194630872483224,20.469798657718123,17.337807606263983,40.6,39.14988814317674
제주,비수도권,2016,1,2016.1/4,68.1,73.3,353.0,69.7,153.0,506.0,2.2,77.4,2.7,75.3,79.3,62.2,1.7,61.2,67.1,14.099999999999994,15.200000000000003,13.623188405797102,17.101449275362317,47.2463768115942,89.56521739130436,65.21739130434783,37.68115942028986,17.971014492753625,9.565217391304348,27.82608695652174,18.55072463768116,26.666666666666668,43.0,43.768115942028984
충남,비수도권,2016,1,2016.1/4,58.3,65.1,1195.0,60.8,769.0,1964.0,4.1,73.6,3.8,70.8,76.3,48.0,4.7,45.7,52.8,25.099999999999994,25.599999999999994,15.283842794759824,14.934497816593886,47.161572052401745,91.353711790393,70.56768558951964,51.004366812227076,13.449781659388647,6.026200873362445,23.842794759825328,15.37117903930131,22.882096069868997,43.5,36.5938864628821
충북,비수도권,2016,1,2016.1/4,59.6,66.7,831.0,61.2,526.0,1357.0,2.7,71.2,2.7,69.2,74.9,51.4,2.7,50.0,58.0,19.200000000000003,19.800000000000004,15.346534653465346,13.985148514851486,46.410891089108915,92.82178217821783,72.27722772277228,49.38118811881188,17.945544554455445,5.074257425742575,22.153465346534652,15.717821782178218,21.65841584158416,42.7,38.366336633663366
강원,비수도권,2016,2,2016.2/4,60.0,65.8,789.0,61.3,498.0,1287.0,2.2,69.3,2.0,67.9,72.6,53.7,2.4,52.4,58.8,15.500000000000007,15.599999999999994,11.78756476683938,20.595854922279795,41.58031088082901,87.8238341968912,66.70984455958549,44.689119170984455,15.932642487046634,6.0880829015544045,26.295336787564764,22.53886010362694,23.44559585492228,42.5,36.65803108808291
경기,수도권,2016,2,2016.2/4,62.0,67.1,6795.0,64.6,3728.0,10523.0,4.0,76.7,3.9,73.7,78.0,52.7,4.2,50.5,56.0,23.200000000000003,24.0,15.7725321888412,11.082158185162477,50.797057020232984,94.55855303494789,78.44880441446965,53.893316983445736,19.497240956468424,5.058246474555488,18.59288779889638,17.397302268546905,20.999386879215205,43.3,47.348252605763335
경남,비수도권,2016,2,2016.2/4,60.6,65.8,1768.0,62.9,1042.0,2810.0,3.6,75.3,3.9,72.4,76.1,50.5,3.3,48.9,54.8,23.500000000000007,24.799999999999997,13.321596244131456,16.842723004694836,45.539906103286384,90.78638497652582,68.54460093896714,48.12206572769953,16.784037558685448,3.5798122065727704,25.29342723004695,19.42488262910798,24.413145539906104,43.6,39.201877934272304
경북,비수도권,2016,2,2016.2/4,63.2,68.0,1511.0,65.3,802.0,2313.0,3.2,76.3,3.1,73.9,77.1,54.5,3.3,52.7,58.3,21.200000000000003,21.799999999999997,12.7136021872864,22.829801777170196,40.533151059466846,85.50922761449077,64.73000683526999,43.81408065618592,16.131237183868762,4.784688995215311,27.204374572795626,17.908407382091593,24.538619275461382,43.9,31.989063568010938
광주,비수도권,2016,2,2016.2/4,58.4,62.8,757.0,60.2,501.0,1257.0,2.9,71.3,3.0,69.2,72.9,49.6,2.7,48.3,52.8,20.900000000000006,21.699999999999996,14.013605442176871,12.925170068027212,50.61224489795918,92.65306122448979,73.46938775510205,49.38775510204081,19.45578231292517,4.625850340136054,22.312925170068027,17.687074829931973,19.591836734693878,43.4,50.204081632653065
대구,비수도권,2016,2,2016.2/4,59.6,65.2,1309.0,62.3,793.0,2102.0,4.3,73.3,4.5,70.0,74.4,51.9,4.1,49.8,56.2,20.200000000000003,21.4,13.886671987230647,13.806863527533919,47.486033519553075,92.89704708699122,73.34397446129289,44.45331205107742,21.94732641660016,6.943335993615324,22.426177174780527,17.238627294493217,22.426177174780527,43.7,47.64565043894653
대전,비수도권,2016,2,2016.2/4,60.0,64.7,801.0,61.8,494.0,1295.0,3.0,71.2,2.6,69.3,73.2,52.8,3.4,51.0,56.2,18.299999999999997,18.400000000000006,16.73101673101673,11.96911196911197,47.61904761904761,93.95109395109395,79.53667953667953,52.638352638352636,20.463320463320464,6.563706563706563,17.88931788931789,20.077220077220076,17.117117117117118,41.8,52.25225225225225
부산,비수도권,2016,2,2016.2/4,56.3,62.5,1759.0,58.6,1244.0,3003.0,3.8,69.1,4.2,66.2,71.8,48.8,3.3,47.2,53.5,19.0,20.299999999999997,14.539007092198581,16.371158392434985,44.680851063829785,91.903073286052,77.12765957446808,48.226950354609926,22.81323877068558,6.1465721040189125,19.62174940898345,19.562647754137117,21.513002364066196,42.8,45.981087470449175
서울,수도권,2016,2,2016.2/4,60.0,65.8,5375.0,62.6,3211.0,8586.0,4.2,72.7,4.1,69.6,75.2,53.3,4.3,51.0,56.8,18.599999999999994,19.400000000000006,16.644008545348612,12.526704214410564,48.766750825402994,93.88230724412507,78.67547096523597,50.92250922509225,21.40221402214022,6.370168964847543,18.50844824237716,17.98407457758788,19.557195571955717,42.8,54.53486113808507
울산,비수도권,2016,2,2016.2/4,58.9,62.1,596.0,61.1,380.0,976.0,3.5,76.3,3.9,73.4,75.9,45.1,2.9,43.8,47.1,29.60000000000001,31.199999999999996,14.26086956521739,11.652173913043478,49.391304347826086,94.08695652173913,80.8695652173913,58.608695652173914,17.217391304347824,5.043478260869565,15.478260869565217,17.91304347826087,21.043478260869566,43.5,40.17391304347826
인천,수도권,2016,2,2016.2/4,62.2,67.4,1613.0,65.6,845.0,2458.0,5.2,77.1,5.8,72.6,77.3,54.5,4.2,52.2,57.3,20.39999999999999,22.599999999999994,15.751633986928104,11.96078431372549,48.75816993464052,94.44444444444444,81.56862745098039,50.19607843137255,25.816993464052292,5.490196078431373,16.666666666666664,16.5359477124183,21.50326797385621,43.6,37.77777777777778
전남,비수도권,2016,2,2016.2/4,63.4,67.7,1001.0,65.1,538.0,1539.0,2.6,74.2,3.7,71.5,74.9,56.2,1.1,55.5,59.9,16.0,18.0,10.358974358974358,26.769230769230766,38.871794871794876,80.92307692307692,59.179487179487175,35.48717948717949,18.666666666666668,5.0256410256410255,30.76923076923077,21.641025641025642,13.333333333333334,40.3,28.615384615384613
전북,비수도권,2016,2,2016.2/4,61.0,66.1,982.0,62.6,587.0,1569.0,2.5,73.2,3.2,70.9,74.5,52.4,1.5,51.6,57.3,19.300000000000004,20.800000000000004,11.703239289446186,22.048066875653085,42.21525600835946,85.57993730407524,62.38244514106584,39.39393939393939,16.823406478578892,6.165099268547544,29.6760710553814,19.22675026123302,17.763845350052247,42.0,39.811912225705335
제주,비수도권,2016,2,2016.2/4,68.8,73.2,359.0,70.3,151.0,511.0,2.2,77.8,2.5,75.9,79.4,63.1,1.8,61.9,66.7,14.000000000000007,14.699999999999996,13.105413105413104,18.51851851851852,46.438746438746435,88.6039886039886,64.67236467236467,37.60683760683761,19.08831908831909,8.262108262108262,28.774928774928775,23.931623931623932,24.786324786324787,42.3,44.15954415954416
충남,비수도권,2016,2,2016.2/4,62.7,67.7,1284.0,64.9,696.0,1980.0,3.4,77.3,3.2,74.8,78.9,52.3,3.7,50.4,55.5,24.4,25.0,14.5044319097502,18.049959709911363,45.04431909750202,88.47703464947622,68.17082997582594,47.86462530217567,14.5044319097502,5.801772763900081,24.73811442385173,16.35777598710717,23.69057211925866,43.9,35.85817888799355
충북,비수도권,2016,2,2016.2/4,62.8,68.5,880.0,64.6,481.0,1361.0,2.9,73.9,2.8,71.8,76.2,55.5,2.9,53.8,60.4,18.0,18.400000000000006,14.736842105263156,17.192982456140353,43.859649122807014,90.4093567251462,69.47368421052632,47.485380116959064,16.140350877192983,5.847953216374268,23.50877192982456,18.128654970760234,21.403508771929825,42.8,37.07602339181287
강원,비수도권,2016,3,2016.3/4,60.0,65.5,795.0,61.7,494.0,1289.0,2.6,69.8,2.9,67.8,72.3,53.9,2.3,52.7,58.5,15.099999999999994,15.899999999999999,12.27390180878553,21.188630490956072,41.21447028423773,87.20930232558139,66.1498708010336,43.281653746770026,17.05426356589147,5.813953488372093,26.356589147286826,23.901808785529717,24.67700258397933,42.3,35.5297157622739
경기,수도권,2016,3,2016.3/4,62.3,67.6,6843.0,64.7,3731.0,10574.0,3.7,76.8,3.6,74.0,78.6,52.9,3.8,50.9,56.4,23.1,23.9,15.594660194174756,11.240898058252426,50.65230582524271,94.61468446601941,78.00364077669903,53.82281553398058,18.947208737864077,5.24878640776699,18.901699029126213,19.447815533980584,19.720873786407765,42.5,47.48179611650485
경남,비수도권,2016,3,2016.3/4,61.0,66.2,1782.0,63.3,1033.0,2814.0,3.6,75.7,4.2,72.5,76.1,51.0,2.8,49.5,55.5,23.0,24.700000000000003,13.10425160163075,16.8899242865463,45.71927781013396,90.56493884682585,66.91904484566103,47.117064647641236,15.899825276645313,3.902154921374491,26.732673267326735,21.60745486313337,22.073383808969133,42.2,38.846825859056494
경북,비수도권,2016,3,2016.3/4,63.0,67.6,1504.0,65.0,811.0,2315.0,3.1,76.3,3.0,74.1,77.3,53.8,3.2,52.1,57.0,21.999999999999993,22.5,12.139917695473251,23.11385459533608,41.01508916323731,85.11659807956104,64.26611796982168,43.34705075445816,16.872427983539097,4.11522633744856,27.229080932784637,18.998628257887518,23.593964334705074,43.3,32.16735253772291
