year,employment_rate_15_64_std,employment_rate_15_64_range,female_employment_rate_std,female_employment_rate_range,gender_employment_rate_gap_std,gender_employment_rate_gap_range,stable_wage_job_score_std,stable_wage_job_score_range,working_time_quality_score_std,working_time_quality_score_range,employment_inclusion_score_std,employment_inclusion_score_range
2016,2.7677528302156382,11.325000000000003,3.9838998899738107,18.775000000000006,3.868488817247203,16.174999999999997,13.509049221783615,50.2294560208366,9.146103983008757,31.53112688224313,6.89928277567786,21.180899317217744
2017,2.9973287739938987,12.650000000000006,4.135641909952183,19.049999999999997,3.7014138048064504,15.099999999999998,14.772499583989715,59.199863861823204,9.002871939237785,33.87092921800198,8.422899112405501,26.10526082904348
2018,2.7099345756700024,10.724999999999994,3.3321579576022153,14.924999999999997,3.1882366507485727,10.350000000000001,16.01825435239916,64.18430186423537,7.890605399244886,25.24198171086701,8.631123041187012,30.250028613777495
2019,2.339997486172607,8.725000000000009,3.267285058639934,14.724999999999994,2.7092977166873076,10.274999999999999,16.838542179004783,67.84110512717903,8.364208663671809,26.51675268635907,8.527586083427444,31.144443254132497
2020,2.2511435002734776,7.824999999999996,3.768830174252077,17.35,3.564519551405623,16.050000000000004,16.548011399081584,65.02213224650333,8.138092808843293,30.305149114169467,9.083229810136451,33.38852788050345
2021,2.27477879499886,8.724999999999994,3.5517187223023363,15.774999999999999,3.117174761325881,11.500000000000002,17.029565480913895,67.26910245278512,7.6918302872791875,27.28825932599071,8.952889700736522,32.379329656019415
2022,2.568541121463126,10.150000000000006,3.99276459582168,17.275000000000006,3.5469701496695816,12.549999999999999,17.71664137007522,67.43146346075002,6.059923777054669,21.608233491444665,8.884996127630052,27.14310541418285
2023,2.293703417542698,9.024999999999991,3.658556650471041,14.725000000000001,3.3726319306597743,12.049999999999997,17.667834268464865,67.47697520544554,7.912437552912729,23.37832260448461,9.262566929646413,30.552099237664315
2024,2.3806820574834275,9.074999999999989,3.8343737265686553,15.599999999999994,3.098191627432706,11.449999999999998,16.81719177861956,66.67176517969179,6.184026015539707,20.934690328578746,8.908615449319703,31.95214314002326
2025,2.339396446798645,9.100000000000009,4.074193577730878,18.85000000000001,3.4667445845787217,16.850000000000005,16.487972221992955,68.09539549859093,7.889938157537433,26.414735033990226,8.839027552221197,34.479678702836175
