year,employment_rate_비수도권,employment_rate_수도권,employment_rate_15_64_비수도권,employment_rate_15_64_수도권,labor_force_participation_rate_비수도권,labor_force_participation_rate_수도권,unemployment_rate_비수도권,unemployment_rate_수도권,female_employment_rate_비수도권,female_employment_rate_수도권,gender_employment_rate_gap_비수도권,gender_employment_rate_gap_수도권,wage_worker_share_비수도권,wage_worker_share_수도권,regular_worker_share_비수도권,regular_worker_share_수도권,self_employed_share_비수도권,self_employed_share_수도권,temporary_worker_share_비수도권,temporary_worker_share_수도권,daily_worker_share_비수도권,daily_worker_share_수도권,short_hours_worker_share_비수도권,short_hours_worker_share_수도권,long_hours_worker_share_비수도권,long_hours_worker_share_수도권,youth_employed_share_비수도권,youth_employed_share_수도권,senior_employed_share_비수도권,senior_employed_share_수도권,college_employed_share_비수도권,college_employed_share_수도권,employment_inclusion_score_비수도권,employment_inclusion_score_수도권,employment_rate_gap_metro_minus_nonmetro,employment_rate_15_64_gap_metro_minus_nonmetro,labor_force_participation_rate_gap_metro_minus_nonmetro,unemployment_rate_gap_metro_minus_nonmetro,female_employment_rate_gap_metro_minus_nonmetro,gender_employment_rate_gap_gap_metro_minus_nonmetro,wage_worker_share_gap_metro_minus_nonmetro,regular_worker_share_gap_metro_minus_nonmetro,self_employed_share_gap_metro_minus_nonmetro,temporary_worker_share_gap_metro_minus_nonmetro,daily_worker_share_gap_metro_minus_nonmetro,short_hours_worker_share_gap_metro_minus_nonmetro,long_hours_worker_share_gap_metro_minus_nonmetro,youth_employed_share_gap_metro_minus_nonmetro,senior_employed_share_gap_metro_minus_nonmetro,college_employed_share_gap_metro_minus_nonmetro,employment_inclusion_score_gap_metro_minus_nonmetro
2016,60.684615384615384,61.13333333333333,66.00384615384615,66.65833333333333,62.63653846153846,63.89166666666667,3.119230769230769,4.333333333333333,50.71923076923077,50.78333333333333,20.174999999999997,21.116666666666664,70.26229436416783,79.50652119771195,46.6402007332362,51.72432762980099,24.014328840153805,17.94732467079297,18.021729119913058,21.973065991322088,5.625847469952237,5.81360699468446,18.32463457802389,15.679603258898792,20.989541219941252,20.787746343909216,13.697894073066712,15.902398293633388,17.142728846737473,11.760168835711736,40.92373399594456,46.581211127272475,42.28050667838199,50.54055225282014,0.4487179487179489,0.6544871794871767,1.2551282051282158,1.2141025641025642,0.0641025641025621,0.9416666666666664,9.244226833544118,5.08412689656479,-6.067004169360835,3.95133687140903,0.1877595247322228,-2.6450313191250974,-0.20179487603203583,2.204504220566676,-5.382560011025737,5.657477131327916,8.260045574438152
2017,61.05714285714286,61.324999999999996,66.45535714285714,67.18333333333332,62.92321428571428,64.11666666666666,2.982142857142857,4.3500000000000005,51.19464285714286,51.25,19.926785714285717,20.575,71.36202759262096,79.31341442492428,48.50805426274127,52.54827238898209,23.343022191992556,18.064728297848603,17.255056921111095,20.932996424663187,5.6251105311229805,5.835513384807508,17.67836166586856,15.202087874252534,19.749508652194017,19.692175366970464,13.508150901705088,15.886015049281129,17.553718833431923,12.463420619670663,43.33422822089598,47.38436451744966,45.16839758479542,52.13676794799269,0.2678571428571388,0.7279761904761841,1.1934523809523796,1.3678571428571433,0.05535714285714022,0.6482142857142819,7.951386832303314,4.040218126240823,-5.278293894143953,3.6779395035520928,0.2104028536845277,-2.476273791616027,-0.05733328522355308,2.377864147576041,-5.09029821376126,4.050136296553681,6.968370363197266
2018,60.88392857142857,61.5,66.33214285714286,67.51666666666667,62.96071428571428,64.23333333333333,3.3232142857142857,4.2749999999999995,51.17142857142857,51.80833333333334,19.63571428571429,19.78333333333333,71.52910390301773,79.57061924010229,49.53871000447657,53.53366616199033,23.07013274931413,17.926512862703675,16.6073130179318,20.6893805318746,5.406526831981158,5.3381301433089385,20.197692014283756,18.400527485078364,16.901593548411814,16.478593412889968,13.3438588875494,16.041693943627653,18.4005986803046,13.106415275079968,44.37968036615268,48.85319824377226,45.39293159775095,54.03075328959147,0.6160714285714306,1.1845238095238102,1.2726190476190524,0.9517857142857138,0.6369047619047663,0.14761904761904177,8.041515337084562,3.994956157513762,-5.143619886610455,4.0820675139428,-0.0683966886722196,-1.7971645292053928,-0.42300013552184623,2.6978350560782527,-5.294183405224633,4.473517877619585,8.637821691840522
2019,61.292857142857144,61.458333333333336,66.70357142857144,67.425,63.403571428571425,64.14166666666667,3.3464285714285715,4.183333333333334,51.90535714285714,52.25,18.94464285714286,18.791666666666668,71.58858476830564,80.25824564734876,50.47597454314168,54.62264441772739,23.016685816355086,17.45996374945072,16.135741986644554,20.442790791667974,4.986794099469052,5.197203786580091,20.607279615067362,18.927007903343082,15.24982757181127,14.329528583696174,13.137137945961696,16.087357244419554,19.656518999773105,14.281828054643638,44.97007888629296,50.17278349559806,46.884758262271774,55.88767334567678,0.16547619047619122,0.7214285714285609,0.7380952380952408,0.836904761904762,0.34464285714285836,-0.15297619047619193,8.669660879043121,4.146669874585712,-5.556722066904367,4.30704880502342,0.21040968711103858,-1.6802717117242807,-0.9202989881150963,2.950219298457858,-5.374690945129467,5.202704609305101,9.002915083405007
2020,60.81071428571429,60.30833333333334,66.09285714285714,66.25833333333334,63.021428571428565,63.04999999999999,3.5160714285714287,4.366666666666666,51.56964285714286,51.00833333333333,18.610714285714288,18.950000000000003,71.44560768543516,80.89765801231302,51.38014092180021,57.06654155594426,23.12176130685685,17.09919159565958,15.697427081317864,18.60868745788767,4.382035742936188,5.233139113338113,22.77668953571163,21.128366747857267,13.157200781250284,11.64208281068713,12.654079661401429,15.504696255574459,21.286599848366166,15.649438601567399,45.408004631106984,50.672957653732986,45.84175254200913,54.299585723532594,-0.5023809523809533,0.16547619047619833,0.028571428571424917,0.8505952380952375,-0.5613095238095269,0.3392857142857153,9.452050326877853,5.68640063414405,-6.022569711197271,2.911260376569805,0.8511033704019244,-1.6483227878543616,-1.5151179705631534,2.8506165941730295,-5.637161246798767,5.264953022626003,8.457833181523462
2021,61.1875,60.56666666666666,66.56964285714285,66.95833333333333,63.11785714285714,63.208333333333336,3.0749999999999997,4.175,52.112500000000004,51.30833333333334,18.25,18.858333333333334,71.83323677728306,81.45646955029451,51.93050148220516,58.17935003639732,22.9281248120292,16.76126993059206,15.714943349266491,18.326422536366184,4.203964548536485,4.950963535075634,25.459780419377147,23.41341986773797,12.321490047968165,10.448663703512596,12.507841559130835,15.844807347339843,22.597869131048565,16.258994849847067,46.494424699823746,50.78169466687843,46.356220301877826,55.211672298445194,-0.6208333333333371,0.3886904761904759,0.09047619047619548,1.1,-0.8041666666666671,0.6083333333333343,9.623232773011452,6.248848554192158,-6.166854881437139,2.611479187099693,0.7469989865391495,-2.046360551639175,-1.8728263444555697,3.3369657882090085,-6.338874281201498,4.287269967054684,8.855451996567368
2022,62.3375,62.324999999999996,68.0125,69.25833333333334,64.01071428571429,64.35000000000001,2.6357142857142857,3.1666666666666665,53.378571428571426,53.116666666666674,18.021428571428572,18.791666666666668,72.38189889026684,81.59020905491512,52.922325661906505,59.57739196938207,22.696425922029075,16.73426476481349,15.580156902061129,17.846987099071168,3.9062386102326063,4.174142013175278,29.471110173965382,27.52324669416485,11.193450487716332,9.99119318217321,12.480248029874016,15.950712864706887,23.783174862572064,17.140893499855128,47.06644280774042,51.33360872831077,47.62890760989272,58.00406385297484,-0.012500000000002842,1.2458333333333371,0.3392857142857224,0.5309523809523808,-0.2619047619047521,0.7702380952380956,9.208310164648282,6.655066307475565,-5.962161157215586,2.266830197010039,0.2679034029426721,-1.9478634798005316,-1.202257305543121,3.470464834832871,-6.642281362716936,4.267165920570349,10.375156243082117
2023,62.994642857142864,62.708333333333336,68.75357142857142,69.76666666666667,64.65892857142858,64.55,2.607142857142857,2.841666666666667,54.607142857142854,54.15,16.866071428571427,17.475,73.13072255342988,81.33135166078074,53.73207600917421,60.722750042225215,22.38146915941129,17.046285181215513,15.735501608716135,16.906992368448332,3.6609263226848827,3.712580555349021,25.678131347280384,21.99012002264357,11.1889981682239,10.44732028889736,11.915483150787148,15.386039406587406,24.841126193997138,18.302661424965596,47.851738547213245,52.98340357174845,50.523872850038096,61.814931281191626,-0.28630952380952834,1.0130952380952465,-0.10892857142857792,0.23452380952380958,-0.4571428571428555,0.6089285714285744,8.200629107350863,6.9906740330510075,-5.335183978195776,1.1714907597321975,0.051654232664138267,-3.6880113246368147,-0.7416778793265397,3.4705562558002576,-6.538464769031542,5.131665024535202,11.29105843115353
2024,62.96071428571429,63.083333333333336,68.86071428571428,70.375,64.72321428571429,65.01666666666667,2.748214285714286,2.966666666666667,54.98571428571428,55.208333333333336,16.005357142857143,16.083333333333332,73.48181698848994,81.61842563224263,54.102414516973965,61.0751627867649,22.22046950301897,16.79807337579334,16.148067307384046,17.196547176217372,3.23508334312747,3.339164528709727,31.130669607448283,30.452085920920126,9.999031755590064,9.13588117832242,11.475118583266006,14.562756940679838,25.553540549573636,19.316399349633254,49.056399236316324,54.74703132527765,49.127938027168724,59.84328110091476,0.12261904761904674,1.5142857142857196,0.2934523809523739,0.21845238095238084,0.22261904761905527,0.07797619047618909,8.136608643752695,6.972748269790934,-5.422396127225628,1.0484798688333257,0.10408118558225699,-0.6785836865281567,-0.8631505772676444,3.087638357413832,-6.237141199940382,5.69063208896133,10.715343073746034
2025,63.40535714285714,62.88333333333333,69.48571428571428,70.16666666666667,65.08928571428571,64.86666666666667,2.6089285714285713,3.091666666666667,55.916071428571435,55.133333333333326,14.985714285714284,15.766666666666667,73.91469633242578,81.75873679887751,54.47621830188741,61.78737350340538,21.880287616599468,16.789865375746885,16.535762384942235,16.959376512931005,2.8954831179487046,3.012534586829112,26.38937791203427,23.603215490777558,10.055886454394502,9.543035879843492,11.169480078491953,13.482968610796298,26.542572353244996,20.496758913663275,50.124785584308306,56.64415780882687,52.42989341637911,61.885045960996244,-0.5220238095238088,0.680952380952391,-0.22261904761903395,0.4827380952380955,-0.7827380952381091,0.7809523809523835,7.84404046645173,7.31115520151797,-5.0904222408525825,0.4236141279887704,0.1170514688804074,-2.786162421256712,-0.5128505745510097,2.313488532304346,-6.045813439581721,6.519372224518563,9.455152544617135
