"시도별(1)","연령계층별(1)",2025.10,2025.11,2025.12,2026.01,2026.02,2026.03
"계","계",29040,29046,28209,27986,28413,28795
"계","15 - 29세",3521,3491,3490,3434,3411,3422
"계","15 - 19세",126,135,146,160,149,150
"계","20 - 29세",3396,3356,3344,3274,3262,3273
"계","30 - 39세",5569,5581,5578,5568,5574,5617
"계","40 - 49세",6138,6154,6108,6091,6080,6115
"계","50 - 59세",6703,6709,6667,6658,6649,6667
"계","60세이상",7110,7111,6367,6236,6698,6974
"계","15 - 64세",24623,24637,24441,24272,24248,24402
"계","15 - 24세",1125,1101,1101,1103,1065,1048
"서울특별시","계",5228,5224,5150,5084,5143,5186
"서울특별시","15 - 29세",781,778,773,736,742,745
"서울특별시","15 - 19세",18,17,23,29,25,21
"서울특별시","20 - 29세",764,761,751,707,717,724
"서울특별시","30 - 39세",1243,1241,1242,1248,1252,1239
"서울특별시","40 - 49세",1066,1070,1060,1050,1045,1054
"서울특별시","50 - 59세",1090,1082,1078,1087,1098,1107
"서울특별시","60세이상",1048,1052,996,963,1007,1040
"서울특별시","15 - 64세",4608,4602,4571,4524,4540,4558
"서울특별시","15 - 24세",212,208,203,198,193,188
"부산광역시","계",1707,1718,1672,1657,1695,1694
"부산광역시","15 - 29세",206,207,208,208,209,208
"부산광역시","15 - 19세",8,9,8,8,8,10
"부산광역시","20 - 29세",198,198,200,199,201,198
"부산광역시","30 - 39세",307,312,312,315,318,321
"부산광역시","40 - 49세",366,364,363,364,362,357
"부산광역시","50 - 59세",395,396,394,395,388,386
"부산광역시","60세이상",434,440,395,376,419,423
"부산광역시","15 - 64세",1437,1441,1438,1434,1433,1427
"부산광역시","15 - 24세",66,63,62,66,64,61
"대구광역시","계",1217,1228,1198,1179,1214,1216
"대구광역시","15 - 29세",136,136,136,135,127,121
"대구광역시","15 - 19세",8,8,5,4,3,3
"대구광역시","20 - 29세",128,129,131,132,124,119
"대구광역시","30 - 39세",211,216,217,217,224,226
"대구광역시","40 - 49세",266,268,264,264,265,262
"대구광역시","50 - 59세",311,310,311,310,307,308
"대구광역시","60세이상",294,297,270,254,291,299
"대구광역시","15 - 64세",1040,1046,1040,1033,1035,1030
"대구광역시","15 - 24세",42,45,43,42,37,33
"인천광역시","계",1737,1729,1668,1682,1717,1730
"인천광역시","15 - 29세",203,201,199,197,196,195
"인천광역시","15 - 19세",9,11,9,8,10,10
"인천광역시","20 - 29세",193,190,190,188,186,185
"인천광역시","30 - 39세",353,352,353,356,355,360
"인천광역시","40 - 49세",391,386,385,380,383,383
"인천광역시","50 - 59세",393,394,390,392,392,391
"인천광역시","60세이상",397,396,341,358,391,401
"인천광역시","15 - 64세",1500,1496,1481,1484,1490,1492
"인천광역시","15 - 24세",65,68,62,61,61,58
"광주광역시","계",790,784,753,763,768,778
"광주광역시","15 - 29세",91,88,90,92,93,94
"광주광역시","15 - 19세",5,4,5,5,5,5
"광주광역시","20 - 29세",86,84,85,87,88,88
