"거주지역별(1)",2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"거주지역별(1)",총계,총계,총계,총계,총계,총계,총계,총계,남자,남자,남자,남자,남자,남자,남자,남자,여자,여자,여자,여자,여자,여자,여자,여자
"거주지역별(1)",총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상
"전국",2571951,71386,262380,341028,469637,617948,482880,326692,1060955,38830,172221,211728,232335,218974,120024,66843,1510996,32556,90159,129300,237302,398974,362856,259849
"서울특별시",372925,17048,54132,58139,59861,73015,67122,43608,138631,7820,30861,30924,26963,19918,13387,8758,234294,9228,23271,27215,32898,53097,53735,34850
"부산광역시",182236,4090,14730,20568,29329,47330,42291,23898,63700,2148,9324,12062,13109,13361,8915,4781,118536,1942,5406,8506,16220,33969,33376,19117
"대구광역시",122146,2750,11564,14474,21501,30686,24986,16185,44744,1528,8132,8822,9510,8530,5040,3182,77402,1222,3432,5652,11991,22156,19946,13003
"인천광역시",135611,3466,14329,19876,26612,34338,23118,13872,57252,1833,9385,12686,13499,11396,5629,2824,78359,1633,4944,7190,13113,22942,17489,11048
"광주광역시",75292,2319,8684,10957,14139,17044,13465,8684,30278,1242,5750,6905,6532,5174,2930,1745,45014,1077,2934,4052,7607,11870,10535,6939
"대전광역시",69386,2586,7483,9386,13387,16385,12121,8038,27847,1456,4908,5626,6230,5158,2756,1713,41539,1130,2575,3760,7157,11227,9365,6325
"울산광역시",50675,1146,5417,7776,10239,13202,8836,4059,23279,794,4154,5469,5318,4540,2218,786,27396,352,1263,2307,4921,8662,6618,3273
"세종특별자치시",16883,609,3244,3566,3506,3090,1757,1111,7798,312,1966,1967,1683,1139,485,246,9085,297,1278,1599,1823,1951,1272,865
"경기도",552151,16682,70336,88422,108470,127621,87634,52986,243033,9372,46970,56056,53848,43384,21849,11554,309118,7310,23366,32366,54622,84237,65785,41432
"강원특별자치도",104775,2234,7328,10775,19844,29186,20792,14616,44708,1308,4809,6629,10283,12507,5989,3183,60067,926,2519,4146,9561,16679,14803,11433
"충청북도",101657,2665,9246,11900,19455,26565,18396,13430,45311,1596,6593,7555,9965,11130,5392,3080,56346,1069,2653,4345,9490,15435,13004,10350
"충청남도",131184,3365,11915,16333,23822,31970,24083,19696,59453,2031,8437,11291,12694,13536,7048,4416,71731,1334,3478,5042,11128,18434,17035,15280
"전북특별자치도",115072,2301,7444,11196,20086,27857,25116,21072,45502,1304,4999,7305,10366,11029,6540,3959,69570,997,2445,3891,9720,16828,18576,17113
"전라남도",132975,2494,7805,11999,22317,32727,29685,25948,56292,1498,5595,8217,12704,15104,8418,4756,76683,996,2210,3782,9613,17623,21267,21192
"경상북도",181204,3681,12334,18404,32108,46820,38351,29506,76945,2304,8914,12284,16931,19631,10931,5950,104259,1377,3420,6120,15177,27189,27420,23556
"경상남도",197829,3131,13691,22610,37671,52860,40666,27200,83331,1843,9752,15320,19121,20733,11263,5299,114498,1288,3939,7290,18550,32127,29403,21901
"제주특별자치도",29950,819,2698,4647,7290,7252,4461,2783,12851,441,1672,2610,3579,2704,1234,611,17099,378,1026,2037,3711,4548,3227,2172
