"거주지역별(1)",2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"거주지역별(1)",총계,총계,총계,총계,총계,총계,총계,총계,남자,남자,남자,남자,남자,남자,남자,남자,여자,여자,여자,여자,여자,여자,여자,여자
"거주지역별(1)",총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상
"전국",8963712,110376,923572,2012383,2418128,2061695,1012129,425429,6427976,60097,658700,1511689,1793569,1482060,680539,241322,2535736,50279,264872,500694,624559,579635,331590,184107
"서울특별시",1336047,17967,129774,274552,338498,307129,184551,83576,955862,7874,84005,200675,256482,226824,129237,50765,380185,10093,45769,73877,82016,80305,55314,32811
"부산광역시",652073,6134,52384,128770,159440,169404,98318,37623,450164,3134,36095,94306,114406,116796,64005,21422,201909,3000,16289,34464,45034,52608,34313,16201
"대구광역시",478081,4984,46314,100191,129332,113054,58100,26106,338642,2828,34542,74956,95060,79576,37567,14113,139439,2156,11772,25235,34272,33478,20533,11993
"인천광역시",530631,5824,54314,119647,143610,130345,55438,21453,381876,3007,38285,90992,106218,94053,37436,11885,148755,2817,16029,28655,37392,36292,18002,9568
"광주광역시",308575,4667,31413,71173,85337,65534,34695,15756,206262,2524,21631,49744,58924,43512,21314,8613,102313,2143,9782,21429,26413,22022,13381,7143
"대전광역시",274674,3669,26807,60164,76618,63128,30835,13453,193456,2015,18863,43724,56125,44616,20595,7518,81218,1654,7944,16440,20493,18512,10240,5935
"울산광역시",232930,2373,24757,54867,66399,56948,21649,5937,182793,1627,20280,45160,53226,44081,15136,3283,50137,746,4477,9707,13173,12867,6513,2654
"세종특별자치시",82884,1019,13311,27478,22068,12712,4777,1519,58591,500,8924,19717,16335,8965,3273,877,24293,519,4387,7761,5733,3747,1504,642
"경기도",2425811,28443,276653,589283,672980,526018,230722,101712,1778438,15479,197840,453295,509215,385747,156996,59866,647373,12964,78813,135988,163765,140271,73726,41846
"강원특별자치도",260443,3662,25352,52275,68799,64887,31191,14277,181194,2118,18378,37931,49044,45448,20506,7769,79249,1544,6974,14344,19755,19439,10685,6508
"충청북도",285462,4599,32616,63842,78058,64964,29310,12073,201878,2737,24141,47206,55941,45894,19413,6546,83584,1862,8475,16636,22117,19070,9897,5527
"충청남도",366777,5585,44714,92211,99200,75806,34425,14836,265880,3353,33181,71290,73009,53792,23274,7981,100897,2232,11533,20921,26191,22014,11151,6855
"전북특별자치도",311155,3973,26834,63381,85176,73053,40653,18085,209965,2242,18544,44442,59271,49639,26237,9590,101190,1731,8290,18939,25905,23414,14416,8495
"전라남도",280157,4483,29103,59350,75516,65385,32943,13377,195384,2745,21162,42682,53907,45650,22223,7015,84773,1738,7941,16668,21609,19735,10720,6362
"경상북도",447672,5824,44383,94089,120653,110474,52356,19893,324239,3696,34008,71308,89327,79901,35431,10568,123433,2128,10375,22781,31326,30573,16925,9325
"경상남도",624124,6378,58362,145206,177395,147892,65690,23201,457677,3788,44301,113206,133724,107071,43502,12085,166447,2590,14061,32000,43671,40821,22188,11116
"제주특별자치도",66216,792,6481,15904,19049,14962,6476,2552,45675,430,4520,11055,13355,10495,4394,1426,20541,362,1961,4849,5694,4467,2082,1126
