"거주지역별(1)",2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"거주지역별(1)",총계,총계,총계,총계,총계,총계,총계,총계,남자,남자,남자,남자,남자,남자,남자,남자,여자,여자,여자,여자,여자,여자,여자,여자
"거주지역별(1)",총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상
"전국",12684099,166612,1121828,2437255,3193486,3083810,1785429,895679,8909231,90676,787526,1810132,2339989,2197764,1187000,496144,3774868,75936,334302,627123,853497,886046,598429,399535
"서울특별시",1999148,32673,183456,370502,486406,469622,306132,150357,1383098,14928,116497,265047,355539,333664,206236,91187,616050,17745,66959,105455,130867,135958,99896,59170
"부산광역시",852545,8970,61616,147681,195724,225712,148701,64141,577129,4648,42004,107240,138927,153535,94984,35791,275416,4322,19612,40441,56797,72177,53717,28350
"대구광역시",618865,6639,51938,113272,158107,154382,90867,43660,432718,3759,38405,84241,115270,108007,58768,24268,186147,2880,13533,29031,42837,46375,32099,19392
"인천광역시",719251,9226,67061,147673,188289,181315,87580,38107,503181,4813,46444,110592,136007,126993,57416,20916,216070,4413,20617,37081,52282,54322,30164,17191
"광주광역시",368963,5899,34985,78303,98181,81671,47064,22860,245988,3188,23922,54593,67811,54408,29406,12660,122975,2711,11063,23710,30370,27263,17658,10200
"대전광역시",349673,5271,30937,68400,92762,84333,46191,21779,243301,2942,21570,49387,67313,59137,30613,12339,106372,2329,9367,19013,25449,25196,15578,9440
"울산광역시",296027,3013,27310,61354,80198,76679,35641,11832,228421,2040,22175,50133,63810,58709,24869,6685,67606,973,5135,11221,16388,17970,10772,5147
"세종특별자치시",94521,1264,14095,28993,24251,15646,7116,3156,66542,650,9464,20770,17927,11110,4867,1754,27979,614,4631,8223,6324,4536,2249,1402
"경기도",3196011,42518,331706,707817,863872,733602,353197,163299,2299223,23201,233934,537711,641543,529310,237954,95570,896788,19317,97772,170106,222329,204292,115243,67729
"강원특별자치도",418294,5280,30311,64340,98104,114458,67724,38077,290836,3100,21807,46618,70812,82271,45328,20900,127458,2180,8504,17722,27292,32187,22396,17177
"충청북도",431752,6240,37718,75658,105864,110162,62491,33619,304221,3721,27653,55742,76453,79757,42496,18399,127531,2519,10065,19916,29411,30405,19995,15220
"충청남도",569491,7813,51257,107798,133604,134295,83916,50808,404880,4654,37671,82628,98357,96912,57310,27348,164611,3159,13586,25170,35247,37383,26606,23460
"전북특별자치도",476062,5892,31822,75812,114326,116994,81523,49693,318189,3368,21882,53144,80501,81301,52859,25134,157873,2524,9940,22668,33825,35693,28664,24559
"전라남도",506386,6780,35226,75509,114080,125754,90225,58812,343113,4104,25273,54206,82692,89415,58885,28538,163273,2676,9953,21303,31388,36339,31340,30274
"경상북도",732940,8426,52222,114583,169443,193345,124973,69948,517082,5262,39421,86150,125710,140795,83853,35891,215858,3164,12801,28433,43733,52550,41120,34057
"경상남도",895966,8606,66536,167217,227724,228819,131918,65146,640945,5132,49915,129253,170918,165948,87074,32705,255021,3474,16621,37964,56806,62871,44844,32441
"제주특별자치도",158204,2102,13632,32343,42551,37021,20170,10385,110364,1166,9489,22677,30399,26492,14082,6059,47840,936,4143,9666,12152,10529,6088,4326
