"거주지역별(1)",2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"거주지역별(1)",총계,총계,총계,총계,총계,총계,총계,총계,총계,남자,남자,남자,남자,남자,남자,남자,남자,남자,여자,여자,여자,여자,여자,여자,여자,여자,여자
"거주지역별(1)",총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자,총계,30세미만,30~39세,40~49세,50~59세,60~69세,70~79세,80세이상,사망자
"전국",15975759,230031,1464386,3246050,4040929,3675876,2007300,970068,341119,8567256,123283,852438,1844935,2092417,1882840,1039031,466067,266245,7408503,106748,611948,1401115,1948512,1793036,968269,504001,74874
"서울특별시",2659289,46571,251494,536242,660265,600037,368989,174119,21572,1350793,22865,131470,285338,332836,292854,185609,85186,14635,1308496,23706,120024,250904,327429,307183,183380,88933,6937
"부산광역시",1065895,12365,80818,198226,249143,268593,164298,69629,22823,538419,6415,46037,109057,121413,126252,80668,32427,16150,527476,5950,34781,89169,127730,142341,83630,37202,6673
"대구광역시",765321,9390,67315,150123,197830,179277,100523,47542,13321,401369,5150,41464,84561,99274,88547,50109,22413,9851,363952,4240,25851,65562,98556,90730,50414,25129,3470
"인천광역시",883163,13131,86352,189814,230553,209776,97953,43095,12489,466497,6898,50034,109975,118243,105073,48711,18900,8663,416666,6233,36318,79839,112310,104703,49242,24195,3826
"광주광역시",448946,7414,42867,98701,119518,95711,53414,25289,6032,229642,3945,25442,54508,58165,45592,25785,11802,4403,219304,3469,17425,44193,61353,50119,27629,13487,1629
"대전광역시",437759,6604,39931,91151,116855,100508,52572,24527,5611,230558,3598,23380,50405,60189,50591,26881,11524,3990,207201,3006,16551,40746,56666,49917,25691,13003,1621
"울산광역시",370394,4535,36136,80902,101938,89880,39047,12852,5104,214469,2780,23799,49797,56165,50146,21869,6226,3687,155925,1755,12337,31105,45773,39734,17178,6626,1417
"세종특별자치시",124223,1680,18865,39240,31195,19920,8298,3422,1603,68659,827,10286,22106,17483,10441,4505,1715,1296,55564,853,8579,17134,13712,9479,3793,1707,307
"경기도",4061692,61694,438427,946368,1095636,879290,411684,190350,38243,2174401,32514,251782,545557,572488,451372,206329,87383,26976,1887291,29180,186645,400811,523148,427918,205355,102967,11267
"강원특별자치도",508102,6909,38431,83096,121249,134243,72871,38543,12760,275383,3902,23183,46441,63118,70925,38818,18871,10125,232719,3007,15248,36655,58131,63318,34053,19672,2635
"충청북도",525173,7847,45945,95606,130050,127754,67336,34525,16110,293963,4486,29006,55909,68095,68451,36689,17689,13638,231210,3361,16939,39697,61955,59303,30647,16836,2472
"충청남도",699716,10110,63710,136909,164364,156602,90736,51028,26257,401811,5775,39545,83450,89260,84894,50682,26198,22007,297905,4335,24165,53459,75104,71708,40054,24830,4250
"전북특별자치도",582558,7305,39335,95992,138813,135835,87841,50976,26461,315072,4127,23354,53903,71359,70062,46549,24408,21310,267486,3178,15981,42089,67454,65773,41292,26568,5151
"전라남도",627026,8296,43254,95093,138200,146874,95933,57680,41696,359066,4890,27283,55453,74853,80305,53160,28391,34731,267960,3406,15971,39640,63347,66569,42773,29289,6965
"경상북도",904149,11005,66363,147618,208105,222409,131763,68746,48140,522651,6513,42303,87559,112501,123514,74381,35318,40562,381498,4492,24060,60059,95604,98895,57382,33428,7578
"경상남도",1108305,12016,86738,218040,282430,263835,140900,66742,37604,614312,6837,53600,127467,148704,140040,75484,31882,30298,493993,5179,33138,90573,133726,123795,65416,34860,7306
"제주특별자치도",204048,3159,18405,42929,54785,45332,23142,11003,5293,110191,1761,10470,23449,28271,23781,12802,5734,3923,93857,1398,7935,19480,26514,21551,10340,5269,1370
